Model,Metric,Mean (Same Folder),Mean (Different Folder),Std (Same Folder),Std (Different Folder),Min (Same Folder),Max (Same Folder),Min (Different Folder),Max (Different Folder),Separation (Mean Diff),Dynamic Range (Same Folder),Dynamic Range (Different Folder),SNR,Kurtosis (Same Folder),Kurtosis (Different Folder),Skewness (Same Folder),Skewness (Different Folder),Overlap Percentage,Separation Ratio,Median (Same Folder),Median (Different Folder),Suggested Threshold,False Positive Rate,False Negative Rate,Composite Score
Facenet512,manhattan,264.5753839904326,489.4823289743322,36.96684446146786,21.906038946830524,190.2341361772269,335.82613429258345,445.346840213053,538.6548955139588,224.90694498389956,145.59199811535655,93.30805530090583,3.820212837616817,-0.3738097740666672,-0.3194522072634562,0.1381198039305763,0.1905281819239969,0.0005880199843789,0.9414269346856066,265.15129738510586,491.9211050616577,377.0288564823824,0.0,0.0,200.23202544805594
Facenet512,canberra,239.150981315887,342.4941323478894,19.79762637004301,8.196725353557511,197.96168662792672,274.51702808325206,326.9047037450614,360.1085160836244,103.34315103200235,76.55534145532533,33.20381233856301,3.6915715017211617,-0.7106626501605451,-0.3000876661811875,-0.200694357240065,0.0599614140162517,0.0004119814827616,0.941544713674321,241.9489027257734,342.80259338105384,290.82255683188816,0.0,0.0,93.97900898930102
Facenet512,hamming,100.9,185.16,17.172361514946044,9.272238133266422,64.0,130.0,165.0,203.0,84.25999999999999,66.0,38.0,3.186283820549183,-0.3736170735686062,-0.1314782546031745,-0.5195801707981366,-0.3143999414986968,0.0271899757529633,0.8101923076923077,103.0,186.0,143.03,0.0,0.0,75.02873830898466
ArcFace,canberra,288.57027485723876,361.6158679335201,17.767432311919205,10.166145018549868,251.17820526307025,315.5867641692955,339.27261733128455,380.24910217278995,73.04559307628136,64.4085589062253,40.97648484150539,2.6149745237465707,-0.6707035813908626,-0.4205893558805016,-0.5056679872520468,-0.3422315480752725,0.493020803687887,0.6931305475484446,292.7435375919607,360.9422984296024,325.0930713953794,0.0,0.0,62.28830532160426
Facenet,manhattan,72.75135013293475,127.1162312882766,8.898486619172559,6.451169683637945,58.63925925642252,86.39025299437344,113.50806236080824,141.67183576524258,54.36488115534186,27.75099373795092,28.163773404434323,3.5417653713450066,-1.336440400204213,-0.1439475601750492,-0.1221051919483054,0.389484328273615,0.0010654670037941,0.9722812761949514,74.20052939001471,127.31787503696978,99.93379071060568,0.0,0.0,51.20388655807581
ArcFace,manhattan,67.73909114598646,99.41941334981703,6.7070386233439745,6.071995081884171,53.53604758018628,78.70775975938886,85.79562870250084,109.11208613630151,31.68032220383057,25.171712179202583,23.31645743380068,2.479085894488998,-0.915965701901746,-0.1727621001384216,-0.286335034613652,-0.6224816629613764,1.7993389810099494,0.6533618912959489,68.13198211669805,100.06608228059486,83.57925224790175,0.0,0.0,28.063385340799456
Facenet,canberra,59.02848091316032,83.2424320917857,6.2811826171387395,3.0351545416070738,48.419874031564255,68.34949463226914,76.83933631253743,89.12081291278241,24.21395117862538,19.929620600704887,12.281476600244986,2.599084894205902,-1.3886770878308223,-0.5676889754947636,0.0353833892357357,0.0667708412319237,0.4300203036489057,0.7517269910914843,57.72067861132378,83.06149418632856,71.135456502473,0.0,0.0,22.82059042382008
Facenet,hamming,24.4,45.8,4.3977266854592045,3.3823069050575527,17.0,36.0,39.0,53.0,21.4,19.0,14.0,2.7506307975437148,0.5019746783461261,-0.2847816519145185,0.4823870520640833,0.0793929930279072,2.1128438424843177,0.6484848484848484,24.0,45.0,35.099999999999994,5.0,0.0,20.48653008227332
Facenet512,hausdorff,14.59202790291452,27.05008769463164,2.020630314935437,1.15549021666834,10.470301099202944,18.52851683932539,24.845530857931216,29.758814933326352,12.45805979171712,8.058215740122447,4.913284075395136,3.9224140481301073,-0.3582689426590795,-0.3826992929295705,0.0725079268076337,0.2905837142616977,0.0001614009523157,0.9604178367110452,14.629868304754536,27.04010880509967,20.82105779877308,0.0,0.0,15.752799130565919
Facenet512,euclidean,14.59202790291452,27.050087694631635,2.0206303149354348,1.155490216668341,10.470301099202947,18.528516839325395,24.8455308579312,29.758814933326356,12.458059791717115,8.058215740122446,4.913284075395154,3.922414048130108,-0.3582689426590808,-0.3826992929295612,0.0725079268076345,0.2905837142616922,0.0001614009523157,0.9604178367110436,14.629868304754538,27.04010880509967,20.821057798773076,0.0,0.0,15.752799130565915
SFace,manhattan,81.83010044293478,106.80409070979805,13.52827801017684,6.3982651151171765,60.12718770001083,104.26352325454354,93.15918933227658,121.64537366107106,24.973990266863257,44.13633555453271,28.48618432879448,1.2533026983070734,-1.1863519368879742,-0.2198724692526017,-0.0092198088583134,0.1034328223889608,25.5263651546091,0.3438876853486439,84.29521315032616,106.91086777020246,94.3170955763664,15.0,4.0,11.502636056950147
Facenet,euclidean,8.053155434408733,14.073068651532274,0.9215918008943232,0.5450520928893589,6.458594241429656,9.404475097546964,13.008964045003706,15.43374865122835,6.019913217123541,2.9458808561173075,2.4247846062246445,4.104550015609603,-1.1937001358401955,0.0673320994253106,-0.1144057220066922,0.3939749271895104,1.6502505215599806e-06,1.1208877669506667,8.149106348607864,13.997656926009435,11.063112042970504,0.0,0.0,10.512028722741865
Facenet,hausdorff,8.053155434408733,14.073068651532273,0.9215918008943232,0.5450520928893593,6.458594241429656,9.404475097546964,13.0089640450037,15.433748651228347,6.019913217123538,2.9458808561173075,2.424784606224648,4.1045500156095995,-1.193700135840196,0.0673320994253141,-0.1144057220066946,0.3939749271895171,1.6502505215600822e-06,1.1208877669506654,8.149106348607862,13.997656926009435,11.063112042970502,0.0,0.0,10.512028722741857
Facenet512,minkowski,5.996196878308931,11.144527251256388,0.8435804649420621,0.4573540219797769,4.252449164090746,7.606244543512114,10.340683126107267,12.224440839148896,5.148330372947457,3.353795379421368,1.8837577130416283,3.9574094043190446,-0.3534960049538229,-0.4829566305440687,0.0289760832528433,0.3511160700257681,6.161911309118768e-05,0.9829648085775144,6.013089022030941,11.144395870468983,8.57036206478266,0.0,0.0,9.438225018560479
Facenet,minkowski,4.175150101290148,7.285544133403297,0.4655136551488794,0.2900085582937866,3.2997603320560684,4.953109180916835,6.652879888005395,7.919951141219423,3.110394032113149,1.6533488488607664,1.267071253214028,4.116879658561073,-1.0361671005250035,-0.2772540954824252,-0.051888738794656,-0.0191693216485376,1.06919982096874e-05,1.0650502062711418,4.13581056397091,7.294789429749354,5.730347117346723,0.0,0.0,7.914560651824389
Facenet512,cosine,0.2326420244427887,0.7894131672878733,0.0607001232202942,0.050986408718755,0.1258617936399215,0.3516835388708645,0.7143847412563835,0.9149494718783916,0.5567711428450844,0.225821745230943,0.200564730622008,4.985123391143809,-0.5187988383838196,-0.40736297698191,0.2453409116822954,0.4869658181857549,4.68906358854226e-11,1.3057898746232734,0.2316007394683927,0.7802905358465231,0.511027595865331,0.0,0.0,6.791841142633263
Facenet512,correlation,0.2323932913805028,0.7890854905784681,0.0606282588216284,0.0511434101001237,0.1260168601615586,0.351679482826748,0.7139522758433613,0.914959713377807,0.5566921991979652,0.2256626226651893,0.2010074375344457,4.980619906352902,-0.515798455761936,-0.4092992292152102,0.2494802139464272,0.4871959954903914,5.0592137585679316e-11,1.3047369645235805,0.2314833784130082,0.7793143102762246,0.5107393909794855,0.0,0.0,6.786163235603453
Facenet,mse,0.5133019054548638,1.5495964301148712,0.1153567517096822,0.1208094642294308,0.3258862466830338,0.6909699364092265,1.3221339494078057,1.8609421674163515,1.0362945246600077,0.3650836897261927,0.5388082180085458,4.387988013184657,-1.234216505472909,0.2015402264794836,0.0211313345658093,0.5046547757095561,9.442075127354212e-08,1.1464805866633831,0.5190364492392403,1.5307374954551562,1.0314491677848676,0.0,0.0,6.452679997654341
Facenet512,mse,0.4238480960724066,1.431723441265777,0.1162030137764115,0.122894367212992,0.214115634976505,0.6705194067678999,1.2056648508054917,1.729662238742124,1.0078753451933706,0.4564037717913948,0.5239973879366324,4.215334107896556,-0.2564240563631008,-0.2817806250810988,0.4058590444384279,0.3886721783344588,1.1024999902087384e-05,1.0280234118378286,0.4180379199733231,1.4280614925617756,0.9277857686690918,0.0,0.0,6.131681969433073
Facenet,cosine,0.2381416535656935,0.7174789267702762,0.0558831198699713,0.0534660961719743,0.1500902435658961,0.3279378117096972,0.6240243790792258,0.8558437393694742,0.4793372732045827,0.1778475681438011,0.2318193602902484,4.383545585006407,-1.3064285063049978,-0.0417155550329177,0.0158268073918414,0.5329912875936386,5.2644435767916e-08,1.1700658264918964,0.2386581243700035,0.7025302705035267,0.4778102901679849,0.0,0.0,5.978274066153026
Facenet512,braycurtis,0.3625388471804051,0.8076960509147397,0.0552812632342454,0.0452536051617807,0.2583456329842766,0.4714207564992775,0.739649852042751,0.9125645938801988,0.4451572037343346,0.2130751235150008,0.1729147418374478,4.427888660288234,-0.576849856623475,-0.5197824400492239,0.1018423609319625,0.3294650450499501,1.0917062871760234e-07,1.1532872847007525,0.3649766225069021,0.8143986100750037,0.5851174490475725,0.0,0.0,5.976065692691182
Facenet,correlation,0.2387812697131087,0.7041230746477075,0.0554668664599282,0.0513774100158351,0.1523408971170683,0.3257731691676764,0.6169658526659854,0.8331845338231986,0.4653418049345987,0.173432272050608,0.2162186811572132,4.355327400622691,-1.3432209663061618,-0.3102834263480236,0.0347377031886403,0.5236622189991299,4.4799367338567094e-08,1.1942529617947772,0.2376058258526575,0.6947056704097467,0.4714521721804081,0.0,0.0,5.961500020154312
Facenet,braycurtis,0.362285145120432,0.7566361393339227,0.0537944261736497,0.0530593823632952,0.2744886787481179,0.4537049313464425,0.6510362051798098,0.8765205406689313,0.3943509942134907,0.1792162525983245,0.2254843354891215,3.690565639287839,-1.367230649522497,-0.0809963764736023,-0.0598029142557481,0.5259246014663268,0.0004289962761477,0.9744265410562758,0.3633786816992678,0.7579303225767843,0.5594606422271773,0.0,0.0,5.005830471033904
ArcFace,correlation,0.4285974775392581,0.90771749691,0.0865540938716178,0.0636258969904174,0.2604337698655602,0.5692158927878506,0.7842940360511023,0.9917217493660014,0.479120019370742,0.3087821229222903,0.2074277133148991,3.1903052904756897,-0.8362940273533592,-0.9357023019259496,-0.0968964356988547,-0.527506276670669,0.0220878831751397,0.9281497285351892,0.433484288609592,0.9247425148469178,0.6681574872246292,0.0,0.0,4.518067466315575
ArcFace,cosine,0.4287427963103957,0.9078335851714804,0.0865953713356491,0.0636402246037656,0.2603537171605772,0.5693590474795565,0.784335754502712,0.9918661821643712,0.4790907888610846,0.3090053303189792,0.207530427661659,3.188929932785614,-0.8360435502990602,-0.9358431167113634,-0.0990406153787548,-0.5277418791912031,0.0221594922239197,0.927507498675518,0.4335925988031373,0.924887257938776,0.6682881907409379,0.0,0.0,4.515978523907725
ArcFace,braycurtis,0.5261884185773191,0.9189445797327898,0.0664518527842837,0.0602799460729496,0.4082838712417125,0.6337836046631344,0.8040569491356975,1.0173815352292783,0.3927561611554706,0.2254997334214218,0.2133245860935808,3.0991129668878186,-1.0054320088115711,-1.0624198271415954,-0.1830993765623353,-0.3715471710072875,0.0281491256836152,0.8950191310945402,0.5338345172433482,0.9396470909016612,0.7225664991550544,0.0,0.0,4.31789253457249
ArcFace,hausdorff,3.7955143715524,5.5356174853595475,0.3843685063984325,0.3129417976158638,3.01059263668153,4.442466110875929,4.87317379206664,6.1560622237806495,1.7401031138071472,1.4318734741943993,1.2828884317140092,2.4954501658582564,-0.9839694182274809,-0.2382354205339889,-0.1818841094470035,-0.21832195352457,1.3242318366870258,0.6409781682953435,3.783259567717793,5.516811383735773,4.665565928455974,0.0,0.0,4.263029928616194
ArcFace,euclidean,3.795514371552401,5.535617485359544,0.3843685063984327,0.3129417976158639,3.01059263668153,4.442466110875932,4.8731737920666385,6.156062223780649,1.7401031138071428,1.431873474194402,1.28288843171401,2.4954501658582497,-0.9839694182274769,-0.2382354205339876,-0.1818841094470078,-0.2183219535245576,1.324231836687062,0.6409781682953409,3.783259567717793,5.516811383735769,4.6655659284559725,0.0,0.0,4.263029928616173
VGG-Face,manhattan,19.36685759340209,28.89899604566075,3.9236091320548994,2.5875290645236917,14.683127330477928,26.568410303878487,24.290602263555485,33.779404821181586,9.532138452258655,11.88528297340056,9.4888025576261,1.46397421840432,-1.1418640233233794,-1.2069806336794566,0.449055858856073,0.1679804834775872,20.59976325378427,0.4459670772076676,18.973559293846133,28.287586194860697,24.13292681953142,20.0,0.0,4.066557998824493
